1. Summary
Meeting title	meeting in "General"
Attended participants	5
Start time	2/03/25, 7:57:50 AM
End time	2/03/25, 8:47:18 AM
Meeting duration	49m 28s
Average attendance time	33m 32s

2. Participants
Name	First Join	Last Leave	In-Meeting Duration	Email	Participant ID (UPN)	Role
John Smith	2/03/25, 7:57:52 AM	2/03/25, 8:47:18 AM	49m 26s	j.smith@example.com	j.smith@example.com	Organizer
Joseph de'Baron	2/03/25, 8:08:53 AM	2/03/25, 8:47:18 AM	38m 24s	j.debaron@example.com	j.debaron@example.com	Presenter
Casey Swawnson	2/03/25, 8:15:35 AM	2/03/25, 8:47:16 AM	31m 41s	c.swanson@example.com	cswenson1@example.com	Presenter
Jared Mayer	2/03/25, 8:15:47 AM	2/03/25, 8:47:16 AM	31m 29s	j.mayer@example.com	j.mayer@example.com	Presenter
Dick Polaver	2/03/25, 8:30:35 AM	2/03/25, 8:47:14 AM	16m 38s	d.polaver@example.com	d.polaver@example.com	Presenter

3. In-Meeting Activities
Name	Join Time	Leave Time	Duration	Email	Role
John Smith	2/03/25, 7:57:52 AM	2/03/25, 8:47:18 AM	49m 26s	j.smith@example.com	Organizer
Joseph de'Baron	2/03/25, 8:08:53 AM	2/03/25, 8:47:18 AM	38m 24s	j.debaron@example.com	Presenter
Casey Swawnson	2/03/25, 8:15:35 AM	2/03/25, 8:47:16 AM	31m 41s	c.swanson@example.com	Presenter
Jared Mayer	2/03/25, 8:15:47 AM	2/03/25, 8:47:16 AM	31m 29s	j.mayer@example.com	Presenter
Dick Polaver	2/03/25, 8:30:35 AM	2/03/25, 8:47:14 AM	16m 38s	d.polaver@example.com	Presenter
